HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Utrecht,Sparta (Rotterdam),3,1,51%,49%,15,21,11,2,7,8,5,0,431,405,11,8,337 (78%),325 (80%),7 (41%),7 (26%),46 (46%),53 (63%),21,20,4,3,27,16,2,6,2
Cambuur (Leeuwarden),Twente (Enschede),0,1,44%,56%,15,3,6,0,1,7,5,1,358,454,5,9,262 (73%),357 (78%),3 (20%),2 (11%),49 (46%),34 (40%),19,14,11,6,17,17,3,3,-1
FC Groningen,PSV (Eindhoven),4,2,36%,64%,17,27,10,4,10,2,13,0,296,494,12,21,212 (71%),416 (84%),1 (25%),17 (41%),29 (30%),30 (53%),18,26,13,5,30,11,7,3,2
NEC (NEC),Go Eagles FC Ehead,3,3,60%,40%,19,10,4,1,3,3,3,1,560,368,14,5,470 (83%),282 (76%),8 (38%),4 (28%),29 (47%),37 (43%),9,22,13,11,11,23,1,1,0
Excelsior,AZ Alkmaar,2,1,32%,68%,22,12,0,2,3,9,1,0,284,604,3,16,184 (64%),506 (83%),1 (10%),8 (27%),35 (38%),29 (47%),12,16,14,12,29,14,7,0,1
Vitesse (Arnhem),FC Emmen,2,1,43%,57%,16,4,1,4,3,3,1,1,355,467,11,4,245 (69%),350 (74%),3 (20%),4 (22%),28 (29%),27 (40%),15,21,12,9,11,20,0,2,1
FC Waalwijk,Ajax,1,4,37%,63%,14,17,4,5,5,7,2,5,332,566,9,14,270 (81%),503 (88%),1 (5%),5 (18%),18 (35%),28 (63%),19,25,13,7,30,19,4,3,-3
Feyenoord,Fortuna (Sittard),1,1,60%,40%,33,13,11,9,1,12,2,1,507,357,26,2,415 (81%),257 (71%),8 (22%),0 (0%),23 (51%),28 (28%),30,20,8,11,7,34,0,10,0
AZ Alkmaar,Feyenoord,1,3,55%,45%,13,0,1,0,1,1,2,2,541,446,3,10,458 (84%),372 (83%),3 (14%),2 (25%),32 (46%),20 (32%),15,17,6,6,14,25,2,1,-2
PSV (Eindhoven),FC Utrecht,6,1,54%,46%,12,0,2,5,3,0,3,494,494,432,10,7,421 (85%),347 (80%),3 (14%),4 (28%),32 (49%),41 (48%),19,14,14,13,13,14,1,3,5
Twente (Enschede),FC Groningen,3,0,64%,36%,24,10,7,0,9,2,2,3,461,268,16,4,363 (78%),180 (67%),7 (25%),2 (28%),38 (46%),31 (34%),25,14,10,17,4,30,2,5,3
Sparta (Rotterdam),NEC (NEC),2,0,40%,60%,14,15,5,4,4,3,1,0,289,435,11,10,204 (70%),372 (85%),7 (50%),3 (13%),45 (44%),32 (60%),26,11,5,6,28,17,4,2,2
Cambuur (Leeuwarden),Vitesse (Arnhem),0,3,54%,46%,10,19,4,5,4,8,1,0,449,369,9,14,345 (76%),283 (76%),1 (6%),9 (40%),32 (34%),34 (43%),21,9,5,10,16,14,3,2,-3
Go Eagles FC Ehead,FC Heerenveen,1,1,55%,45%,13,16,10,3,3,2,3,1,478,400,10,10,381 (79%),303 (75%),6 (21%),7 (58%),36 (45%),32 (34%),14,23,5,9,13,31,2,2,0
Fortuna (Sittard),FC Waalwijk,0,0,55%,45%,11,4,2,8,5,2,3,3,468,389,7,9,397 (84%),320 (82%),5 (18%),4 (20%),51 (56%),22 (34%),18,17,6,2,19,25,3,3,0
FC Emmen,FC Volendam,1,1,48%,52%,18,12,10,4,3,7,5,1,446,404,13,11,333 (74%),281 (69%),6 (23%),3 (20%),38 (45%),29 (32%),20,21,5,9,24,27,3,3,0
FC Heerenveen,PSV (Eindhoven),0,1,50%,50%,16,3,4,2,7,0,2,2,493,503,7,13,399 (80%),405 (80%),4 (22%),0 (0%),31 (40%),21 (35%),12,23,6,7,25,13,6,1,-1
Feyenoord,Twente (Enschede),2,0,60%,40%,20,5,2,10,3,0,4,2,508,342,14,3,417 (82%),234 (68%),4 (16%),0 (0%),26 (36%),27 (27%),8,22,5,8,17,27,2,4,2
FC Utrecht,AZ Alkmaar,1,2,44%,56%,11,14,4,5,6,7,0,1,401,502,5,10,314 (78%),412 (82%),3 (18%),3 (14%),31 (41%),44 (56%),23,18,9,9,24,12,4,3,-1
Go Eagles FC Ehead,Cambuur (Leeuwarden),0,0,53%,47%,20,5,2,12,5,2,0,2,411,380,15,5,331 (80%),293 (77%),14 (37%),1 (6%),25 (33%),25 (32%),14,17,11,6,13,25,3,5,0
NEC (NEC),Excelsior,1,1,59%,41%,15,3,3,8,4,6,1,2,442,311,12,5,358 (81%),212 (68%),6 (22%),3 (25%),29 (48%),42 (45%),11,21,9,8,14,33,3,5,0
Sparta (Rotterdam),FC Emmen,3,1,44%,56%,15,11,6,6,4,2,5,3,395,505,12,8,316 (80%),420 (83%),7 (35%),0 (0%),59 (56%),26 (31%),11,13,8,11,11,13,2,1,2
FC Volendam,Ajax,2,4,28%,72%,13,19,2,3,0,1,3,6,259,661,10,15,176 (67%),578 (87%),6 (60%),6 (30%),38 (40%),36 (51%),19,13,5,3,23,11,4,4,-2
FC Groningen,FC Waalwijk,2,3,40%,60%,15,13,3,4,1,1,8,9,303,441,9,9,204 (67%),346 (78%),2 (15%),3 (23%),28 (32%),37 (45%),25,13,6,12,25,20,2,6,-1
FC Waalwijk,Sparta (Rotterdam),2,2,51%,49%,13,15,4,5,6,5,2,0,477,466,9,11,396 (83%),384 (82%),3 (13%),2 (14%),26 (54%),31 (47%),7,13,9,6,15,23,4,3,0
Excelsior,FC Utrecht,0,1,51%,49%,15,20,4,8,8,10,2,1,381,387,13,16,290 (76%),295 (76%),9 (26%),6 (27%),37 (52%),32 (42%),13,18,10,14,20,34,6,2,-1
NEC (NEC),Feyenoord,1,1,42%,58%,19,2,7,4,10,1,6,389,389,553,7,17,316 (81%),475 (85%),3 (18%),6 (26%),32 (42%),28 (60%),19,18,9,9,18,12,7,1,0
Fortuna (Sittard),FC Volendam,2,0,57%,43%,20,5,3,8,4,2,6,1,474,367,14,4,387 (81%),270 (73%),7 (25%),1 (9%),36 (52%),23 (33%),18,18,8,11,12,21,4,5,2
Twente (Enschede),Vitesse (Arnhem),3,0,56%,44%,18,7,3,5,2,0,3,1,554,435,12,6,467 (84%),344 (79%),5 (21%),4 (30%),31 (57%),25 (43%),30,10,13,9,12,25,1,3,3
Ajax,Go Eagles FC Ehead,1,1,75%,25%,23,10,6,2,7,0,2,1,771,265,16,3,665 (86%),165 (62%),10 (23%),2 (33%),26 (55%),29 (34%),14,15,6,13,4,62,0,6,0
FC Groningen,AZ Alkmaar,1,4,56%,44%,14,13,5,3,1,1,1,2,477,380,8,10,397 (83%),289 (76%),4 (25%),2 (28%),41 (53%),35 (44%),20,21,2,8,7,17,3,1,-3
Cambuur (Leeuwarden),PSV (Eindhoven),3,0,45%,55%,11,12,2,2,7,4,2,1,374,477,9,11,298 (79%),387 (81%),4 (20%),5 (45%),33 (49%),30 (57%),22,21,8,4,19,22,5,1,3
PSV (Eindhoven),Feyenoord,4,3,49%,51%,27,13,10,8,3,13,1,4,389,438,19,7,303 (77%),347 (79%),14 (50%),2 (33%),27 (45%),19 (34%),20,24,13,21,8,18,3,5,1
