HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Royal Espanyol,Elche,2,2,41%,59%,13,4,3,5,3,1,1,2,362,544,11,9,304 (83%),471 (86%),3 (11%),4 (28%),25 (43%),44 (47%),20,11,8,5,9,25,2,3,0
Real Madrid,Sevilla FC,3,1,56%,44%,18,6,5,4,3,1,0,1,638,502,16,7,579 (90%),434 (86%),2 (25%),2 (25%),15 (60%),10 (28%),14,18,5,9,6,6,1,3,2
València CF,RCD Mallorca,1,2,68%,32%,13,10,4,2,1,1,5,3,547,271,9,6,464 (84%),188 (69%),7 (20%),2 (22%),27 (56%),31 (34%),17,20,4,6,11,27,3,2,-1
Real Valladolid,Real Sociedad,1,0,25%,75%,20,1,10,4,10,3,3,2,186,562,6,16,104 (55%),491 (87%),3 (33%),8 (26%),27 (29%),33 (56%),17,6,11,8,24,8,2,1,1
Rayo Vallecano,Cádiz CF,5,1,62%,38%,28,12,11,5,0,1,0,10,441,277,18,2,374 (84%),203 (73%),7 (25%),1 (16%),32 (56%),26 (37%),17,9,6,5,10,20,0,7,4
CA Osasuna,Royal Espanyol,1,0,65%,35%,17,4,1,9,2,1,4,1,495,276,10,5,394 (79%),174 (63%),7 (30%),4 (50%),57 (62%),25 (28%),14,27,6,8,9,32,3,4,1
UD Almería,Girona FC,3,2,34%,66%,13,14,1,4,0,1,4,5,235,449,8,9,164 (69%),381 (84%),2 (15%),8 (25%),24 (25%),25 (49%),11,14,7,2,30,11,3,4,1
Elche,Real Madrid,0,3,41%,59%,10,10,3,2,8,2,0,6,435,738,7,8,382 (87%),696 (94%),5 (27%),0 (0%),24 (52%),20 (80%),13,15,8,5,8,14,3,3,-3
Real Sociedad,RCD Mallorca,1,0,54%,46%,14,12,2,5,10,7,0,1,408,377,11,10,326 (79%),286 (75%),3 (20%),4 (22%),10 (25%),19 (32%),13,13,3,11,27,20,3,7,1
Cádiz CF,Real Betis Balompié,0,0,44%,56%,13,12,1,2,4,9,2,1,345,505,8,10,254 (73%),422 (83%),1 (11%),7 (25%),21 (26%),32 (41%),16,19,5,10,23,18,3,3,0
Real Valladolid,Celta de Vigo,4,1,36%,64%,22,1,9,3,7,0,1,1,288,477,6,17,204 (70%),408 (85%),4 (23%),7 (25%),32 (45%),15 (36%),21,10,6,5,23,12,4,3,3
Atlético Madrid,Rayo Vallecano,1,1,53%,47%,12,14,2,3,0,1,3,5,538,466,12,13,447 (83%),380 (81%),7 (53%),8 (30%),28 (43%),28 (42%),21,14,14,7,16,17,3,3,0
Getafe CF,Athletic Bilbao,2,2,41%,59%,11,14,5,3,7,4,5,2,362,528,8,13,264 (72%),443 (83%),2 (7%),6 (21%),44 (46%),31 (43%),18,4,8,8,19,29,2,2,0
Sevilla FC,València CF,1,1,64%,36%,18,13,4,3,11,6,1,1,488,273,16,9,414 (84%),208 (76%),10 (32%),7 (53%),38 (61%),28 (45%),12,22,3,8,12,30,4,4,0
Real Betis Balompié,UD Almería,3,1,55%,45%,16,12,6,3,9,3,1,3,529,433,14,7,440 (83%),363 (83%),4 (22%),5 (33%),20 (30%),23 (54%),14,6,4,12,7,16,4,3,2
Royal Espanyol,Real Valladolid,1,0,49%,51%,15,14,5,4,6,4,2,2,374,395,9,11,285 (76%),299 (75%),4 (25%),6 (50%),34 (40%),41 (43%),20,15,4,5,7,18,2,2,1
Real Madrid,FC Barcelona,3,1,43%,57%,18,2,6,1,0,2,3,3,414,547,6,14,345 (83%),488 (89%),1 (14%),5 (55%),36 (49%),37 (71%),19,14,6,8,9,5,4,1,2
Celta de Vigo,Real Sociedad,1,2,54%,46%,10,2,1,1,6,2,1,5,455,396,7,5,381 (83%),312 (78%),3 (14%),3 (25%),36 (51%),33 (50%),26,14,6,13,12,23,4,2,-1
Athletic Bilbao,Atlético Madrid,0,1,61%,39%,13,4,0,6,1,0,1,0,566,382,10,3,453 (80%),271 (70%),10 (29%),2 (28%),43 (65%),23 (24%),18,32,7,14,8,25,0,3,-1
RCD Mallorca,Sevilla FC,0,1,43%,57%,1,0,1,3,2,2,2,3,370,500,8,3,295 (79%),417 (83%),4 (25%),2 (16%),25 (40%),17 (26%),13,6,4,14,20,11,0,4,-1
València CF,Elche,2,2,61%,39%,20,3,0,1,1,6,1,5,477,326,14,6,406 (85%),244 (74%),6 (25%),3 (42%),23 (54%),30 (37%),22,28,7,7,8,37,4,5,0
Girona FC,Cádiz CF,1,1,64%,36%,23,14,3,1,1,0,6,2,483,278,19,6,417 (86%),191 (68%),11 (24%),4 (36%),26 (52%),27 (31%),12,17,6,5,11,40,1,5,0
Rayo Vallecano,Getafe CF,0,0,69%,31%,16,9,2,4,1,6,0,2,584,323,10,6,488 (83%),226 (69%),5 (14%),1 (25%),49 (52%),36 (35%),10,12,6,11,7,32,3,3,0
FC Barcelona,Celta de Vigo,1,0,58%,42%,13,14,1,6,6,3,1,4,565,411,9,8,495 (87%),334 (81%),5 (25%),2 (11%),50 (71%),27 (45%),17,12,8,15,20,13,4,4,1
Real Sociedad,Villarreal CF,1,0,60%,40%,17,6,2,9,3,5,0,5,522,340,8,3,468 (89%),279 (82%),2 (12%),0 (0%),35 (64%),32 (50%),24,20,6,4,17,14,1,4,1
Cádiz CF,Royal Espanyol,2,2,53%,47%,8,3,5,0,4,4,372,352,372,352,6,9,271 (72%),264 (75%),7 (23%),4 (36%),35 (38%),32 (31%),10,20,3,10,19,46,4,1,0
