HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Frosinone,FC Cagliari,2,2,47%,53%,18,11,4,2,0,1,4,6,416,463,15,4,297 (71%),348 (75%),4 (25%),4 (15%),25 (26%),33 (38%),12,13,11,5,27,15,2,6,0
Sudtirol,Ascoli,2,2,47%,53%,17,5,1,1,0,1,3,4,375,435,9,6,277 (73%),339 (77%),4 (21%),3 (25%),26 (33%),35 (42%),20,15,7,6,10,21,3,3,0
FC Perugia,Génova (Genova),1,0,35%,65%,11,21,10,1,6,7,9,5,233,443,8,16,121 (51%),338 (76%),5 (26%),12 (38%),30 (34%),30 (37%),24,13,9,8,32,18,5,3,1
Regina (Reggio Calabria),FC Benevento,2,2,40%,60%,11,1,1,1,0,3,5,3,281,428,6,5,207 (73%),357 (83%),3 (21%),4 (20%),28 (41%),17 (41%),13,13,5,7,16,12,1,4,0
FC Pisa,FC Ternana,3,1,42%,58%,18,18,6,5,5,8,0,3,300,389,12,10,199 (66%),297 (76%),2 (13%),6 (20%),35 (43%),51 (57%),17,17,11,11,27,22,3,4,2
FC Parma,Modena FC,1,2,69%,31%,21,11,5,0,1,0,7,3,570,260,17,4,483 (84%),175 (67%),6 (23%),4 (40%),34 (50%),21 (28%),15,19,5,8,2,26,0,10,-1
FC Ternana,FC Brescia,0,0,59%,41%,12,5,5,6,4,2,2,2,488,332,5,8,365 (74%),224 (67%),5 (29%),4 (22%),26 (32%),34 (36%),12,21,8,17,18,22,0,1,0
Modena FC,FC Perugia,1,1,64%,36%,14,15,5,4,5,5,0,3,472,261,9,10,361 (76%),160 (61%),3 (15%),5 (27%),28 (43%),30 (28%),5,18,7,11,15,24,2,2,0
Unione Venezia,Regina (Reggio Calabria),1,2,42%,58%,13,21,3,10,6,8,4,2,344,489,9,15,230 (66%),375 (76%),4 (28%),4 (17%),32 (34%),37 (43%),11,17,11,10,23,14,3,2,-1
FC Bari,Sudtirol,2,2,70%,30%,25,11,1,10,4,0,1,1,553,238,21,7,490 (88%),168 (70%),8 (24%),5 (38%),20 (52%),32 (46%),15,16,8,11,10,31,2,5,0
FC Parma,FC Cittadella,3,1,53%,47%,13,7,0,7,5,2,4,0,425,367,10,6,317 (74%),245 (66%),1 (8%),1 (6%),36 (33%),36 (36%),12,15,17,8,21,10,3,1,2
FC Cagliari,FC Pisa,1,1,62%,38%,14,3,1,6,5,3,2,2,461,290,13,5,374 (81%),198 (68%),9 (25%),6 (27%),43 (50%),26 (34%),17,11,6,19,19,23,3,4,0
SPAL (Ferrara),FC Benevento,1,2,37%,63%,21,10,1,6,1,7,2,2,340,517,4,18,270 (79%),446 (86%),1 (20%),5 (19%),30 (38%),25 (49%),14,14,9,9,24,4,3,1,-1
FC Cosenza,FC Palermo,3,2,43%,57%,11,17,3,4,2,4,0,1,315,402,9,11,243 (77%),335 (83%),4 (18%),6 (24%),29 (38%),17 (34%),13,11,9,9,27,18,6,2,1
Ascoli,Frosinone,0,1,46%,54%,10,0,2,2,3,2,0,2,319,383,4,8,201 (63%),264 (68%),2 (15%),1 (6%),31 (29%),31 (30%),17,14,15,7,12,13,1,1,-1
FC Como.,Unione Venezia,1,0,47%,53%,18,13,2,4,5,4,4,1,391,456,12,4,314 (80%),373 (81%),6 (25%),3 (18%),32 (45%),41 (50%),18,14,6,6,25,21,1,2,1
