HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Atalanta B. C.,S.S. Lazio,0,2,47%,53%,12,3,2,5,8,1,0,2,480,562,5,6,400 (83%),489 (87%),4 (16%),2 (16%),24 (57%),31 (55%),15,20,7,12,9,17,3,0,-2
Bologna FC 1909,U.S. Lecce,2,0,54%,46%,0,1,1,0,9,4,1,1,408,358,8,6,310 (75%),266 (74%),5 (21%),6 (50%),30 (41%),26 (44%),14,11,11,10,13,19,4,3,2
Udinese Calcio,Torino F. C.,1,2,54%,46%,15,13,2,2,7,4,1,0,418,354,13,9,343 (82%),271 (76%),5 (22%),2 (20%),25 (42%),35 (40%),19,19,5,9,13,26,4,3,-1
ACF Fiorentina,Inter de Milán,3,4,58%,42%,10,2,0,1,1,2,2,0,489,344,8,5,403 (82%),252 (73%),6 (37%),3 (27%),36 (46%),27 (31%),10,16,7,13,13,20,4,1,-1
AC Milan,Monza,4,1,49%,51%,12,16,1,6,2,2,1,1,463,471,12,10,389 (84%),397 (84%),0 (0%),4 (44%),62 (62%),25 (51%),17,20,6,5,6,9,5,3,3
Salernitana,Spezia Calcio,1,0,44%,56%,17,14,7,3,4,7,1,2,319,409,12,11,246 (77%),327 (79%),4 (23%),4 (20%),30 (47%),18 (26%),25,17,10,7,18,13,2,3,1
Juventus de Turín,Empoli F. C.,4,0,45%,55%,21,12,8,2,6,4,2,1,379,533,14,9,319 (84%),469 (87%),13 (52%),2 (12%),32 (45%),22 (56%),13,15,11,9,19,19,4,3,4
U. C. Sampdoria,A. S. Roma,0,1,59%,41%,2,1,0,1,4,3,0,3,447,307,6,4,349 (78%),220 (71%),3 (15%),4 (28%),28 (44%),35 (40%),16,12,11,15,13,28,3,1,-1
Hellas Verona F. C.,AC Milan,1,2,46%,54%,19,16,7,5,9,3,0,1,332,398,15,11,230 (69%),303 (76%),7 (31%),3 (27%),33 (47%),33 (42%),9,20,12,11,19,23,5,3,-1
S. S. C. Napoli,Bologna FC 1909,3,2,48%,52%,31,16,11,12,6,6,4,2,486,523,24,14,407 (83%),439 (83%),8 (44%),6 (42%),28 (50%),32 (42%),15,29,4,10,7,14,1,8,1
S.S. Lazio,Udinese Calcio,0,0,55%,45%,12,1,3,7,3,0,1,1,472,393,7,9,385 (81%),318 (80%),3 (18%),3 (27%),33 (56%),32 (45%),18,19,9,10,13,20,2,3,0
Spezia Calcio,Cremonese,2,2,54%,46%,15,24,11,6,9,6,8,3,409,349,10,15,291 (71%),242 (69%),6 (30%),6 (26%),22 (27%),25 (32%),13,29,15,15,29,26,2,4,0
Inter de Milán,Salernitana,2,0,62%,38%,16,3,1,6,4,0,4,0,534,330,11,6,469 (87%),267 (80%),7 (30%),0 (0%),47 (64%),18 (36%),9,12,8,7,11,20,3,4,2
Atalanta B. C.,US Sassuolo Calcio,2,1,48%,52%,16,11,3,2,4,3,3,2,482,521,15,11,391 (81%),427 (81%),7 (46%),6 (33%),23 (38%),57 (62%),15,16,13,10,9,11,2,2,1
Torino F. C.,Juventus de Turín,0,1,53%,47%,15,14,6,2,3,6,2,0,479,422,14,11,400 (83%),336 (79%),3 (21%),7 (38%),23 (32%),50 (56%),13,22,8,10,13,13,7,3,-1
Empoli F. C.,Monza,1,0,36%,64%,11,16,1,5,2,9,1,1,310,542,9,9,233 (75%),472 (87%),5 (41%),7 (18%),16 (26%),58 (74%),27,28,13,12,24,3,4,5,1
A. S. Roma,U.S. Lecce,2,1,66%,34%,20,7,1,1,0,13,4,1,536,275,15,4,477 (88%),196 (71%),8 (25%),2 (28%),37 (61%),22 (35%),16,18,8,8,10,21,2,4,1
Cremonese,S. S. C. Napoli,1,4,30%,70%,12,21,10,4,2,0,1,5,257,622,9,16,184 (71%),555 (89%),3 (23%),3 (27%),18 (26%),23 (45%),21,17,5,2,12,18,6,0,-3
Monza,Spezia Calcio,2,0,48%,52%,10,1,4,3,6,3,4,3,411,439,5,9,317 (77%),359 (81%),1 (11%),4 (23%),23 (30%),31 (48%),19,16,11,13,14,7,1,2,2
